operation1,operation2,split,train_fold,run,bacc
equalize,shear_x,0,0,45332036,0.8052718639373779
equalize,shear_x,0,1,45332036,0.7945404052734375
equalize,shear_x,1,0,45332036,0.782166063785553
equalize,shear_x,1,1,45332036,0.8440213203430176
equalize,shear_x,2,0,45332036,0.8105398416519165
equalize,shear_x,2,1,45332036,0.8064076900482178
equalize,shear_x,3,0,45332036,0.8110380172729492
equalize,shear_x,3,1,45332036,0.8279932737350464
equalize,shear_x,4,0,45332036,0.7844650149345398
equalize,shear_x,4,1,45332036,0.813897967338562
equalize,shear_y,0,0,45327227,0.8317618370056152
equalize,shear_y,0,1,45327227,0.845510721206665
equalize,shear_y,1,0,45327227,0.8275870084762573
equalize,shear_y,1,1,45327227,0.8410953283309937
equalize,shear_y,2,0,45327227,0.8353753089904785
equalize,shear_y,2,1,45327227,0.8114223480224609
equalize,shear_y,3,0,45327227,0.8031350374221802
equalize,shear_y,3,1,45327227,0.8418941497802734
equalize,shear_y,4,0,45327227,0.8345134258270264
equalize,shear_y,4,1,45327227,0.8071836233139038
equalize,translate_x,0,0,45327149,0.8118820190429688
equalize,translate_x,0,1,45327149,0.8055224418640137
equalize,translate_x,1,0,45327149,0.8134040832519531
equalize,translate_x,1,1,45327149,0.8435168266296387
equalize,translate_x,2,0,45327149,0.8186957240104675
equalize,translate_x,2,1,45327149,0.818740963935852
equalize,translate_x,3,0,45327149,0.8173872232437134
equalize,translate_x,3,1,45327149,0.8301661014556885
equalize,translate_x,4,0,45327149,0.8342149257659912
equalize,translate_x,4,1,45327149,0.8229629993438721
equalize,translate_y,0,0,45328845,0.8240211009979248
equalize,translate_y,0,1,45328845,0.8017268180847168
equalize,translate_y,1,0,45328845,0.7892367839813232
equalize,translate_y,1,1,45328845,0.8588073253631592
equalize,translate_y,2,0,45328845,0.81212317943573
equalize,translate_y,2,1,45328845,0.8175770044326782
equalize,translate_y,3,0,45328845,0.7956631183624268
